Feature,Importance
eGFR,0.07669181583340837
Albuminuria,0.06152576749038491
Age,0.060258898845739074
Serum_Creatinine,0.055860561908037426
FBS,0.04956433429326556
RBS,0.0476593639044107
Hornerin,0.04651216057334941
T_Bil,0.04268167092905118
CHOL,0.038725414325924745
BUN,0.035740134799689426
SFN,0.03490623714827403
LDL,0.03240754588009818
Alkaline_Phosphatase,0.029887433970584874
HbA1C,0.02898564860766535
Serum_Albumin,0.02786184928811272
D_Bil,0.02562318365325408
SGOT,0.02479366358354324
Potassium,0.024298174504975942
EAG,0.02323568684864105
TG,0.022704084925922786
HB,0.02252697189985565
Total_Protein,0.02115592557268637
Serum_Globulin,0.01889825864162418
HDL,0.018415940639267464
Sodium,0.018077335074487243
Chloride,0.0176660935147302
Diabetic_Duration,0.01640809457989997
AG_Ratio,0.01635479457063508
SGPT,0.016044687046496028
Bicarbonate,0.012417059044088052
Chol_HDL_ratio,0.011269748126441784
Systolic_BP,0.00979545168196181
Diastolic_BP,0.008630767640121514
Gender,0.0024152406533716276
